"id","ID Externe","Area_id /ID Externe","department_code","insee_code","zip_code","name","gps_lat","gps_lng","country_id"
35849,"__cities_.fr.00000-98831-35849","__areas__.fr.988-108",988,,98831,"Touho","-20.7805376","165.2328146","base.fr"
35828,"__cities_.fr.00000-98832-35828","__areas__.fr.988-108",988,,98832,"Île-des-Pins","-22.60491185","167.46835212806","base.fr"
35850,"__cities_.fr.00000-98833-35850","__areas__.fr.988-108",988,,98833,"Voh","-20.9499628","164.6871864","base.fr"
35851,"__cities_.fr.00000-98834-35851","__areas__.fr.988-108",988,,98834,"Yaté","-22.1593698","166.9442699","base.fr"
35831,"__cities_.fr.00000-98850-35831","__areas__.fr.988-108",988,,98850,"Koumac","-20.5613596","164.2811715","base.fr"
35822,"__cities_.fr.00000-98870-35822","__areas__.fr.988-108",988,,98870,"Bourail","-21.5669549","165.4968115","base.fr"
35832,"__cities_.fr.00000-98880-35832","__areas__.fr.988-108",988,,98880,"La Foa","-21.709921","165.8261772","base.fr"
35825,"__cities_.fr.00000-98881-35825","__areas__.fr.988-108",988,,98881,"Farino","-21.6678687","165.7752913","base.fr"
35847,"__cities_.fr.00000-98882-35847","__areas__.fr.988-108",988,,98882,"Sarraméa","-21.6399906","165.8535314","base.fr"
1,"__cities_.fr.01001-01400-00001","__areas__.fr.001-001",1,1001,1400,"L'Abergement-Clémenciat","46.156781992032","4.9246992031872","base.fr"
2,"__cities_.fr.01002-01640-00002","__areas__.fr.001-001",1,1002,1640,"L'Abergement-de-Varey","46.010085625","5.4287591666667","base.fr"
3,"__cities_.fr.01004-01500-00003","__areas__.fr.001-001",1,1004,1500,"Ambérieu-en-Bugey","45.958409392265","5.3759920441989","base.fr"
4,"__cities_.fr.01005-01330-00004","__areas__.fr.001-001",1,1005,1330,"Ambérieux-en-Dombes","46.000120392157","4.9106016993464","base.fr"
5,"__cities_.fr.01006-01300-00005","__areas__.fr.001-001",1,1006,1300,"Ambléon","45.746426904762","5.6024917857143","base.fr"
